scode	school	cscode	center	center_address	allocation	distance_km
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27051	UNIGLOBE MA VI	KAMALADI	510	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27084	SIDDHARTHA ACADEMY SECONDARY SCHOOL	BAFAL	406	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27174	PADMODAYA SECONDARY SCHOOL	RAMSHAPATH	449	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27021	ANAPURNA SECONDARY SCHOOL	JYATHA	181	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27007	TRINITY INTERNATIONAL SECONDARY SCHOOL	DILLIBAZAR	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27192	PADMAKANYA BIDYASHRAM SECONDARY SCHOOL	DILLIBAZAR	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27104	THE TIMES ENGLISH SCHOOL	DILLIBAZAR	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27159	BIJAY SMARAK MA VI	DILLIBAZAR	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27505	SHANTI SIKSHYA SECONDARY SCHOOL	THAHITI	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27449	NANDI SECONDARY SCHOOL	NAXAL	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27039	KANYA MANDIR SECONDARY SCHOOL	NAKHYA	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27341	JUDDHODAYA SECONDARY SCHOOL	CHETRAPATI	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27243	SHANTI BIDHYAGRIHA SECONDARY SCHOOL	LAINCHAUR	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27337	NEPAL YOUBAK SECONDARY SCHOOL	PAKANAJOL	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27003	NATIONAL SCHOOL OF SCIENCES SECONDARY SCHOOL	LAINCHAUR	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27136	EVEREST CAMPUS	THAPATHALI	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27195	JUBLIENT SECONDARY SCHOOL	KALIMATI	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27092	PAROPAKAR ADARSHA SECONDARY SCHOOL	BHIMSENSTHAN	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27137	MADAN BHANDARI SMIRITI SECONDARY SCHOOL	NAYA BANESHWAR	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27086	MANMOHAN MEMORIAL COLLEGE	SORAKHUTTA	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27241	TANGAL SECONDARY SCHOOL	TANGAL	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27011	VISHWO NIKETAN SECONDARY SCHOOL	TRIPURESHWAR	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27075	SIGMA SECONDARY SCHOOL	SORAKHUTTA	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27117	NEPAL MEGHA COLLEGE	BABARMAHAL	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27080	CAPITAL HILL ACADEMY SECONDARY SCHOOL	TEKU	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27208	MANASALU PUBLIC SECONDARY SCHOOL	NAYABAZAR	10	
27101	काठमाण्डौ मोडेल मा.वि., वागवजार	27018	WHITE FIELD SECONDARY SCHOOL	KHUSIBU	10	
27007	ट्रिनीटी इन्टरनेशनल मा.वि., डिल्लीबजार	27192	PADMAKANYA BIDYASHRAM SECONDARY SCHOOL	DILLIBAZAR	551	
27007	ट्रिनीटी इन्टरनेशनल मा.वि., डिल्लीबजार	27159	BIJAY SMARAK MA VI	DILLIBAZAR	270	
27007	ट्रिनीटी इन्टरनेशनल मा.वि., डिल्लीबजार	27174	PADMODAYA SECONDARY SCHOOL	RAMSHAPATH	-8	
